Identity_ID,Sinner_ID,Identity_Name,Max_HP,Speed,Skill1_ID,Skill2_ID,Skill3_ID,Defense_ID
0101,1,흑수 - 오 필두,271,4-7,1011,1012,1013,1014
0201,2,흑수 - 묘 필두,267,4-7,2011,2012,2013,2014
0301,3,흑수 - 미,251,4-7,3011,3012,3013,3014
0401,4,흑수 - 묘,209,4-7,4011,4012,4013,4014
0501,5,동부 엄지 카포 IIII,212,4-6,5011,5012,5013,5014
0601,6,홍원 군주,192,4-8,6011,6012,6013,6014
0701,7,흑수 - 유 필두,243,4-7,7011,7012,7013,7014
0801,8,가주 후보,207,3-7,8011,8012,8013,8014
0901,9,흑수 - 사,212,3-7,9011,9012,9013,9014
1001,10,흑수 - 유,225,4-6,10011,10012,10013,10014
1101,11,흑수 - 묘,209,4-7,11011,11012,11013,11014
1201,12,흑수 - 사,212,3-7,12011,12012,12013,11014
